Trimestre;Puntos de recarga;Total (BEVs + PHEV);BEVs;PHEV;Total (BEVs + PHEV) Por cada 1000 matriculaciones totales;BEVs Por cada 1000 matriculaciones totales;PHEV Por cada 1000 matriculaciones totales
2013 Q4;0,00;234,00;0,00;0,00;0,00;0,00;0,00
2014 Q1;450,00;105,00;0,00;0,00;0,00;0,00;0,00
2014 Q2;0,00;269,00;0,00;0,00;0,00;0,00;0,00
2014 Q3;0,00;387,00;0,00;0,00;0,00;0,00;0,00
2014 Q4;0,00;473,00;0,00;0,00;0,00;0,00;0,00
2015 Q1;761,00;257,00;194,00;63,00;0,96;0,73;0,24
2015 Q2;1000,00;402,00;160,00;242,00;1,40;0,56;0,84
2015 Q3;1181,00;631,00;486,00;145,00;2,76;2,13;0,63
2015 Q4;1361,00;951,00;732,00;219,00;3,80;2,92;0,87
2016 Q1;1738,00;811,00;443,00;368,00;2,84;1,55;1,29
2016 Q2;2262,00;1004,00;493,00;511,00;2,97;1,46;1,51
2016 Q3;2767,00;685,00;345,00;340,00;2,73;1,37;1,35
2016 Q4;3131,00;1154,00;862,00;292,00;4,23;3,16;1,07
2017 Q1;3616,00;1008,00;634,00;374,00;3,27;2,06;1,21
2017 Q2;4066,00;1481,00;735,00;746,00;4,12;2,04;2,07
2017 Q3;4297,00;2116,00;1123,00;993,00;7,97;4,23;3,74
2017 Q4;4552,00;2871,00;1614,00;1257,00;9,51;5,35;4,17
2018 Q1;4827,00;2199,00;1153,00;1046,00;6,46;3,39;3,07
2018 Q2;5089,00;2817,00;1105,00;1712,00;7,14;2,80;4,34
2018 Q3;5101,00;2435,00;1135,00;1300,00;7,91;3,68;4,22
2018 Q4;5122,00;4352,00;2591,00;1761,00;15,61;9,29;6,32
2019 Q1;5213,00;4480,00;2754,00;1726,00;14,14;8,69;5,45
2019 Q2;5607,00;4474,00;2698,00;1776,00;11,91;7,18;4,73
2019 Q3;6617,00;3491,00;2010,00;1481,00;12,79;7,37;5,43
2019 Q4;7043,00;3491,00;1054,00;2437,00;11,92;3,60;8,32
2020 Q1;7607,00;7254,00;3948,00;3306,00;33,17;18,05;15,12
2020 Q2;7879,00;3489,00;1229,00;2260,00;28,80;10,14;18,65
2020 Q3;8451,00;10433,00;5693,00;4740,00;40,82;22,27;18,55
2020 Q4;8545,00;20058,00;8010,00;12048,00;78,42;31,32;47,10
2021 Q1;11517,00;10591,00;3449,00;7142,00;56,92;18,54;38,39
2021 Q2;11847,00;17794,00;5809,00;11985,00;65,72;21,45;44,26
2021 Q3;12702,00;16455,00;5775,00;10680,00;86,10;30,22;55,88
2021 Q4;13411,00;22077,00;8657,00;13420,00;104,37;40,93;63,44
2022 Q1;14244,00;17704,00;7253,00;10451,00;107,69;44,12;63,57
2022 Q2;15772,00;20423,00;7085,00;13338,00;83,92;29,11;54,81
2022 Q3;16565,00;17345,00;6768,00;10577,00;90,09;35,15;54,94
2022 Q4;18128,00;22861,00;9439,00;13422,00;107,27;44,29;62,98
2023 Q1;20243,00;25447,00;10571,00;14876,00;107,12;44,50;62,62
2023 Q2;22760,00;30095,00;13322,00;16773,00;112,35;49,74;62,62
2023 Q3;25180,00;24179,00;10713,00;13466,00;117,40;52,02;65,38
2023 Q4;29301,00;34055,00;17006,00;17049,00;143,10;71,46;71,64
